Serial No.,GRE Score,University Rating,TOEFL Score,SOP,LOR ,CGPA,Admit
1,337,4,118,4.5,4.5,9.65,1
2,324,4,107,4,4.5,8.87,1
3,316,3,104,3,3.5,8,1
4,322,3,110,3.5,2.5,8.67,1
5,314,2,103,2,3,8.21,0
6,330,5,115,4.5,3,9.34,1
7,321,3,109,3,4,8.2,1
8,308,2,101,3,4,7.9,0
9,302,1,102,2,1.5,8,0
10,323,3,108,3.5,3,8.6,0
11,325,3,106,3.5,4,8.4,1
12,327,4,111,4,4.5,9,1
13,328,4,112,4,4.5,9.1,1
14,307,3,109,4,3,8,1
15,311,3,104,3.5,2,8.2,1
16,314,3,105,3.5,2.5,8.3,0
17,317,3,107,4,3,8.7,0
18,319,3,106,4,3,8,1
19,318,3,110,4,3,8.8,0
20,303,3,102,3.5,3,8.5,0
21,312,3,107,3,2,7.9,1
22,325,4,114,3,2,8.4,0
23,328,5,116,5,5,9.5,1
24,334,5,119,5,4.5,9.7,1
25,336,5,119,4,3.5,9.8,1
26,340,5,120,4.5,4.5,9.6,1
27,322,5,109,4.5,3.5,8.8,0
28,298,2,98,1.5,2.5,7.5,1
29,295,1,93,2,2,7.2,0
30,310,2,99,1.5,2,7.3,0
31,300,2,97,3,3,8.1,1
32,327,3,103,4,4,8.3,1
33,338,4,118,3,4.5,9.4,1
34,340,5,114,4,4,9.6,1
35,331,5,112,4,5,9.8,1
36,320,5,110,5,5,9.2,1
37,299,2,106,4,4,8.4,0
38,300,1,105,1,2,7.8,0
39,304,1,105,3,1.5,7.5,0
40,307,2,108,4,3.5,7.7,0
41,308,3,110,3.5,3,8,1
42,316,2,105,2.5,2.5,8.2,1
43,313,2,107,2.5,2,8.5,1
44,332,4,117,4.5,4,9.1,0
45,326,5,113,4.5,4,9.4,1
46,322,5,110,5,4,9.1,1
47,329,5,114,4,5,9.3,1
48,339,5,119,4.5,4,9.7,0
49,321,3,110,3.5,5,8.85,1
50,327,4,111,3,4,8.4,1
51,313,3,98,2.5,4.5,8.3,1
52,312,2,100,1.5,3.5,7.9,1
53,334,4,116,4,3,8,1
54,324,4,112,4,2.5,8.1,1
55,322,3,110,3,3.5,8,0
56,320,3,103,3,3,7.7,0
57,316,3,102,2,3,7.4,0
58,298,2,99,4,2,7.6,0
59,300,1,99,3,2,6.8,1
60,311,2,104,2,2,8.3,0
61,309,2,100,3,3,8.1,0
62,307,3,101,4,3,8.2,0
63,304,2,105,3,3,8.2,1
64,315,2,107,4,3,8.5,1
65,325,3,111,3,3.5,8.7,0
66,325,4,112,3.5,3.5,8.92,0
67,327,3,114,3,3,9.02,0
68,316,2,107,3.5,3.5,8.64,1
69,318,3,109,3.5,4,9.22,1
