GRE Score,univ_name,Admit
337,Alabama A & M U,yes
324,Alabama Library Association,yes
316,Alabama Public Library Service,no
322,Alabama State U,no
314,Amridge U,no
330,Athens State Coll,yes
321,Auburn U Auburn,yes
308,Auburn U CSDCAS,yes
302,Auburn U Montgomery,no
323,Birmingham,yes
325,Columbia Southern U,yes
327,Faulkner U,no
328,Heritage Bible Coll,no
307,Heritage Christian U,yes
311,Huntingdon Coll,no
314,Jacksonville State U,yes
317,Judson Coll,no
319,Kingdom College,yes
318,Miles Coll,yes
303,Oakwood Coll,no
312,Samford U,yes
325,Samford U ATCAS,yes
328,Samford U Brock Sch Business,yes
334,Samford U CASPA,yes
336,Samford U CSDCAS,yes
340,Samford U Phys Therapy PTCAS,yes
322,Southeastern Bible Coll,yes
298,Spring Hill Coll,yes
295,Stillman Coll,no
310,Talladega Coll,no
300,Troy U Dothan,yes
327,Troy U Montgomery,no
338,Troy U Troy,no
340,Tuskegee U,yes
331,U Alabama Birmingham,no
320,U Alabama Birmingham Phys Therapy PTCAS,yes
299,Northern Arizona U,no
300,Northern Arizona U,yes
304,Northern Arizona U CASPA,yes
307,Northern Arizona U CSDCAS,no
308,Northern Arizona U Phys Therapy,yes
316,Prescott Coll,yes
313,Project 1000,yes
332,Salt River Project,
326,Southwestern Coll Naturopath Med,
322,Still U Arizona Sch Hlth Sci,
329,Thunderbird Sch Global Mgmt Arizona State U,
339,Troy U Davis-Monthan AFB AZ,
321,U Advancing Computer Tech,
327,U Arizona,
313,U Arizona Coll Pub Hlth SOPHAS,
312,U Arizona DPS Coll Education,
334,U Arizona Eller Coll Mgmt,
324,U Arizona James E Rogers College of Law,
322,U Arizona Optical Sci Ctr,
320,U Arizona Planetary Sci,
316,U Phoenix,
298,U Phoenix Tucson,
300,Arizona Christian U,
311,Arizona State U,
309,Arizona State U West,
307,Arizona Summit Law Sch,
304,A T Still U Arizona PTCAS,
315,Concordia U Portland Online,
325,DeVry U Phoenix,
325,Embry Riddle Aeronautical U,
327,Frank Lloyd Wright Sch,
316,Grand Canyon U,
318,Midwestern U,
328,Midwestern U Glendale CMPS Phys Therapy,
332,Midwestern U Phys Asst CASPA,
