Serial No.,GREScore,TOEFLScore,University Rating,Admit
1,337,118,4,yes
2,324,107,4,yes
3,316,104,3,no
4,322,110,3,no
5,314,103,2,no
7,321,109,3,yes
8,308,101,2,yes
9,302,102,1,yes
10,323,108,3,no
11,325,106,3,yes
12,327,111,4,yes
13,328,112,4,no
14,307,109,3,no
15,311,104,3,yes
16,314,105,3,no
17,317,107,3,yes
18,319,106,3,no
19,318,110,3,yes
20,303,102,3,yes
21,312,107,3,no
22,325,114,4,yes
23,328,116,5,yes
24,334,119,5,yes
25,336,119,5,yes
26,340,120,5,yes
27,322,109,5,yes
28,298,98,2,yes
29,295,93,1,yes
30,310,99,2,no
31,300,97,2,no
32,327,103,3,yes
33,338,118,4,no
34,340,114,5,no
35,331,112,5,yes
36,320,110,5,no
37,299,106,2,yes
38,300,105,1,no
39,304,105,1,yes
40,307,108,2,yes
41,308,110,3,no
42,316,105,2,yes
43,313,107,2,yes
44,332,117,4,yes
45,326,113,5,yes
46,322,110,5,no
47,329,114,5,yes
48,339,119,5,yes
49,321,110,3,no
50,327,111,4,yes
51,313,98,3,yes
52,312,100,2,yes
53,334,116,4,yes
54,324,112,4,yes
55,322,110,3,yes
56,320,103,3,yes
57,316,102,3,yes
58,298,99,2,no
59,300,99,1,no
60,311,104,2,yes
61,309,100,2,no
62,307,101,3,no
63,304,105,2,yes
64,315,107,2,no
65,325,111,3,yes
66,325,112,4,no
67,327,114,3,yes
68,316,107,2,yes
69,318,109,3,no
70,328,115,4,yes
71,332,118,5,no
72,336,112,5,yes
73,321,111,5,yes
74,314,108,4,no
75,314,106,3,yes
76,329,114,2,yes
77,327,112,3,yes
78,301,99,2,yes
79,296,95,2,yes
80,294,93,1,yes
81,312,105,3,yes
82,340,120,4,yes
83,320,110,5,no
84,322,115,5,no
85,340,115,5,yes
86,319,103,4,no
87,315,106,3,no
88,317,107,2,yes
89,314,108,3,no
90,316,109,4,yes
91,318,106,2,no
92,299,97,3,yes
93,298,98,2,yes
94,301,97,2,no
95,303,99,3,yes
96,304,100,4,no
97,306,100,2,yes
98,331,120,3,yes
99,332,119,4,no
100,323,113,3,yes
101,322,107,3,yes
102,312,105,2,yes
103,314,106,2,yes
104,317,104,2,yes
105,326,112,3,yes
106,316,110,3,yes
107,329,111,4,yes
108,338,117,4,no
109,331,116,5,no
110,304,103,5,yes
111,305,108,5,no
112,321,109,4,no
113,301,107,3,yes
114,320,110,2,no
115,311,105,3,yes
116,310,106,4,no
117,299,102,3,yes
118,290,104,4,yes
119,296,99,2,no
120,327,104,5,no
121,335,117,5,yes
122,334,119,5,no
123,310,106,4,yes
124,308,108,3,no
125,301,106,4,yes
126,300,100,3,yes
127,323,113,3,no
128,319,112,3,yes
129,326,112,3,yes
130,333,118,5,yes
131,339,114,5,yes
132,303,105,5,yes
133,309,105,5,yes
134,323,112,5,yes
135,333,113,5,yes
136,314,109,4,no
137,312,103,3,no
138,316,100,2,yes
139,326,116,2,no
140,318,109,1,no
141,329,110,2,yes
142,332,118,2,no
143,331,115,5,yes
144,340,120,4,no
145,325,112,2,yes
146,320,113,2,yes
147,315,105,3,no
148,326,114,3,yes
149,339,116,4,yes
150,311,106,2,yes
151,334,114,4,yes
152,332,116,5,yes
153,321,112,5,yes
154,324,105,3,yes
155,326,108,3,yes
156,312,109,3,no
157,315,105,3,no
158,309,104,2,yes
159,306,106,2,no
160,297,100,1,no
161,315,103,1,yes
162,298,99,1,no
163,318,109,3,yes
164,317,105,3,no
165,329,111,4,yes
166,322,110,5,yes
167,302,102,3,no
168,313,102,3,yes
169,293,97,2,yes
170,311,99,2,yes
171,312,101,2,yes
172,334,117,5,yes
173,322,110,4,yes
174,323,113,4,yes
175,321,111,4,yes
176,320,111,4,no
177,329,119,4,no
178,319,110,3,yes
179,309,108,3,no
180,307,102,3,no
181,300,104,3,yes
182,305,107,2,no
183,299,100,2,yes
184,314,110,3,no
185,316,106,2,yes
186,327,113,4,yes
187,317,107,3,no
188,335,118,5,yes
189,331,115,5,yes
190,324,112,5,yes
191,324,111,5,yes
192,323,110,5,yes
193,322,114,5,yes
194,336,118,5,yes
195,316,109,3,no
196,307,107,2,no
197,306,105,2,yes
198,310,106,2,no
199,311,104,3,yes
200,313,107,3,no
201,317,103,3,yes
202,315,110,2,no
203,340,120,5,yes
204,334,120,5,yes
205,298,105,3,no
206,295,99,2,yes
207,315,99,2,yes
208,310,102,3,yes
209,305,106,2,yes
210,301,104,3,yes
211,325,108,4,yes
212,328,110,4,yes
213,338,120,4,yes
214,333,119,5,no
215,331,117,4,no
216,330,116,5,yes
217,322,112,4,no
218,321,109,4,no
219,324,110,4,yes
220,312,104,3,no
221,313,103,3,yes
222,316,110,3,no
223,324,113,4,yes
224,308,109,2,yes
225,305,105,2,no
226,296,99,2,yes
227,306,110,2,yes
228,312,110,2,yes
229,318,112,3,yes
230,324,111,4,yes
231,313,104,3,yes
232,319,106,3,yes
233,312,107,2,yes
234,304,100,2,no
235,330,113,5,no
236,326,111,5,yes
237,325,112,4,no
238,329,114,5,no
239,310,104,3,yes
240,299,100,1,no
241,296,101,1,yes
242,317,103,2,no
243,324,115,3,yes
244,325,114,3,yes
245,314,107,2,no
246,328,110,4,yes
247,316,105,3,yes
248,311,104,2,yes
249,324,110,3,yes
250,321,111,3,yes
251,320,104,3,yes
252,316,99,2,yes
253,318,100,2,no
254,335,115,4,no
255,321,114,4,yes
256,307,110,4,no
257,309,99,3,no
258,324,100,3,yes
259,326,102,4,no
260,331,119,4,yes
261,327,108,5,no
262,312,104,3,yes
263,308,103,2,yes
264,324,111,3,no
265,325,110,2,yes
266,313,102,3,yes
267,312,105,2,yes
268,314,107,3,yes
269,327,113,4,yes
270,308,108,4,yes
271,306,105,2,yes
272,299,96,2,yes
273,294,95,1,no
274,312,99,1,no
275,315,100,1,yes
276,322,110,3,no
277,329,113,5,no
278,320,101,2,yes
279,308,103,2,no
280,304,102,2,yes
281,311,102,3,no
282,317,110,3,yes
283,312,106,3,yes
284,321,111,3,no
285,340,112,4,yes
286,331,116,5,yes
287,336,118,5,yes
288,324,114,5,yes
289,314,104,4,yes
290,313,109,3,yes
291,307,105,2,yes
292,300,102,2,yes
293,302,99,2,no
294,312,98,1,no
295,316,101,2,yes
296,317,100,2,no
297,310,107,3,no
298,320,120,3,yes
299,330,114,3,no
300,305,112,3,yes
301,309,106,2,no
302,319,108,2,yes
303,322,105,2,yes
304,323,107,3,no
305,313,106,2,yes
306,321,109,3,yes
307,323,110,3,yes
308,325,112,4,yes
309,312,108,3,yes
310,308,110,4,yes
311,320,104,3,yes
312,328,108,4,yes
313,311,107,4,no
314,301,100,3,no
315,305,105,2,yes
316,308,104,2,no
317,298,101,2,no
318,300,99,1,yes
319,324,111,3,no
320,327,113,4,yes
321,317,106,3,no
322,323,104,3,yes
323,314,107,2,yes
324,305,102,2,no
325,315,104,3,yes
326,326,116,3,yes
327,299,100,3,yes
328,295,101,2,yes
329,324,112,4,yes
330,297,96,2,yes
331,327,113,3,yes
332,311,105,2,yes
333,308,106,3,no
334,319,108,3,no
335,312,107,4,yes
336,325,111,4,no
337,319,110,3,no
338,332,118,5,yes
339,323,108,5,no
340,324,107,5,yes
341,312,107,3,no
342,326,110,3,yes
343,308,106,3,yes
344,305,103,2,no
345,295,96,2,yes
346,316,98,1,yes
347,304,97,2,yes
348,299,94,1,yes
349,302,99,1,yes
350,313,101,3,yes
351,318,107,3,yes
352,325,110,4,yes
353,303,100,2,no
354,300,102,3,no
355,297,98,2,yes
356,317,106,2,no
357,327,109,3,no
358,301,104,2,yes
359,314,105,2,no
360,321,107,2,yes
361,322,110,3,no
362,334,116,4,yes
363,338,115,5,yes
364,306,103,2,no
365,313,102,3,yes
366,330,114,4,yes
367,320,104,3,yes
368,311,98,1,yes
369,298,92,1,yes
370,301,98,1,yes
371,310,103,2,yes
372,324,110,3,yes
373,336,119,4,no
374,321,109,3,no
375,315,105,2,yes
376,304,101,2,no
377,297,96,2,no
378,290,100,1,yes
379,303,98,1,no
380,311,99,1,yes
381,322,104,3,no
382,319,105,3,yes
383,324,110,4,yes
384,300,100,3,no
385,340,113,4,yes
386,335,117,5,yes
